people,name,xcoord,ycoord,petNum,petSum,peopleSum,index
1539.0,신정동,943625,1947625,85.18229508196721,9116.0,164700,0.3204944418268372
1519.0,신정동,943625,1947875,84.07531268973892,9116.0,164700,0.3163294718225898
,,943625,1948125,0.0,0.0,0,0.0
56.0,,943625,1949375,0.0,0.0,0,0.0
601.0,,943625,1949625,0.0,0.0,0,0.0
123.0,,943625,1949875,0.0,0.0,0,0.0
,,943625,1950125,0.0,0.0,0,0.0
2563.0,신정동,943875,1945375,141.85979356405585,9116.0,164700,0.5337409060443038
3019.0,신정동,943875,1945625,167.09899210686095,9116.0,164700,0.6287022221411445
1039.0,신정동,943875,1945875,57.507735276259865,9116.0,164700,0.21637019172065225
1970.0,신정동,943875,1946125,109.03776563448696,9116.0,164700,0.4102495454183686
1816.0,신정동,943875,1946375,100.51400121432908,9116.0,164700,0.3781792763856636
556.0,신정동,943875,1946625,30.77411050394657,9116.0,164700,0.11578616611807763
1990.0,신정동,943875,1946875,110.14474802671523,9116.0,164700,0.4144145154226159
610.0,신정동,943875,1947125,33.762962962962966,9116.0,164700,0.1270315851295456
1514.0,신정동,943875,1947375,83.79856709168185,9116.0,164700,0.31528822932152795
1007.0,목동,943875,1947625,56.346208235131016,8072.0,144260,0.21200000000000002
1781.0,목동,943875,1947875,99.6550117842784,8072.0,144260,0.3749473684210527
1237.0,목동,943875,1948125,69.21574934146679,8072.0,144260,0.26042105263157894
1630.0,목동,943875,1948375,91.2058782753362,8072.0,144260,0.34315789473684216
2287.0,목동,943875,1948625,127.96800221821712,8072.0,144260,0.4814736842105264
2282.0,목동,943875,1948875,127.68822958547068,8072.0,144260,0.48042105263157897
2235.0,목동,943875,1949125,125.05836683765423,8072.0,144260,0.4705263157894737
3112.0,목동,943875,1949375,174.13048662137803,8072.0,144260,0.6551578947368419
3176.0,목동,943875,1949625,177.71157632053237,8072.0,144260,0.6686315789473685
2421.0,목동,943875,1949875,135.46590877582145,8072.0,144260,0.5096842105263159
1835.0,목동,943875,1950125,102.67655621793983,8072.0,144260,0.3863157894736842
590.0,목동,943875,1950375,33.01317066407875,8072.0,144260,0.1242105263157895
386.0,신정동,944125,1945375,21.364760170006072,9116.0,164700,0.08038392108197476
2504.0,신정동,944125,1945625,138.5941955069824,9116.0,164700,0.5214542445317741
1836.0,신정동,944125,1945875,101.62098360655736,9116.0,164700,0.38234424638991094
401.0,신정동,944125,1946125,22.19499696417729,9116.0,164700,0.08350764858516029
1998.0,신정동,944125,1946375,110.58754098360656,9116.0,164700,0.4160805034243149
483.0,신정동,944125,1946625,26.7336247723133,9116.0,164700,0.10058402560257464
540.0,신정동,944125,1946875,29.888524590163936,9116.0,164700,0.1124541901146797
3679.0,신정동,944125,1947125,203.62941105039465,9116.0,164700,0.7661462322813086
1307.0,목동,944125,1947375,73.13256619991682,8072.0,144260,0.27515789473684216
1637.0,목동,944125,1947625,91.5975599611812,8072.0,144260,0.34463157894736846
2773.0,목동,944125,1947875,155.1619021211701,8072.0,144260,0.5837894736842105
1555.0,목동,944125,1948125,87.00928878413974,8072.0,144260,0.3273684210526316
3200.0,목동,944125,1948375,179.05448495771523,8072.0,144260,0.6736842105263158
3486.0,목동,944125,1948625,195.05747955081105,8072.0,144260,0.7338947368421054
2575.0,목동,944125,1948875,144.0829058644115,8072.0,144260,0.5421052631578948
2580.0,목동,944125,1949125,144.3626784971579,8072.0,144260,0.5431578947368421
