"정류장_ID","정류장_명칭","정류장_유형","정류장_번호","위도","경도","버스도착정보안내기_설치_여부"
"121900013","하이브랜드","마을버스","22384","37.4620910000","127.0367880000","미설치  "
"121900014","내방역3번출구","마을버스","22389","37.4867760000","126.9940000000","미설치  "
"121900015","삼성래미안아파트","마을버스","22400","37.4949660000","127.0184930000","미설치  "
"121900016","매헌시민의숲","마을버스","22416","37.4730820000","127.0389140000","미설치  "
"121900017","동덕여중고","마을버스","22417","37.4741690000","126.9924720000","미설치  "
"121900018","유경약국","마을버스","22418","37.4936650000","126.9862030000","미설치  "
"121900019","동부센트레빌2","마을버스","22420","37.4980320000","126.9880580000","미설치  "
"121900020","헌인마을.서울농업기술센터","마을버스","22421","37.4633820000","127.0896080000","미설치  "
"121900021","잔디마을","마을버스","22422","37.4635270000","127.0352320000","미설치  "
"121900022","방일초등학교","마을버스","22423","37.4852220000","126.9950040000","미설치  "
"121900023","서초성당","마을버스","22996","37.4931910000","127.0212840000","미설치  "
"121900024","이수역5번출구","마을버스","22430","37.4854680000","126.9841850000","미설치  "
"121900025","이수중앙시장","마을버스","22431","37.4921140000","126.9889560000","미설치  "
"121900026","국제전자센터","마을버스","22432","37.4850830000","127.0176220000","미설치  "
"121900027","방배신삼호아파트","마을버스","22433","37.4979490000","126.9916920000","미설치  "
"121900028","더케이호텔후문","마을버스","22435","37.4653350000","127.0343340000","미설치  "
"121900029","삼성레포츠","마을버스","22437","37.4922060000","127.0208160000","미설치  "
"121900030","원불교","마을버스","22439","37.4833310000","127.0424410000","미설치  "
"121900031","양재역7번출구.프라자약국","마을버스","22440","37.4837220000","127.0351590000","미설치  "
"121900032","방배초등학교","마을버스","22443","37.4857360000","126.9863680000","미설치  "
"121900033","함지박사거리","마을버스","22445","37.4930290000","126.9912670000","미설치  "
"121900034","이수화학","마을버스","22447","37.4980300000","126.9933540000","미설치  "
"121900035","방배역1번출구","마을버스","22450","37.4814660000","126.9985450000","미설치  "
"121900036","대림약국","마을버스","22451","37.4904360000","127.0208740000","미설치  "
"121900037","반포래미안아이파크아파트","마을버스","22452","37.5009630000","127.0121590000","미설치  "
"121900038","방배고개","마을버스","22455","37.4862120000","126.9894180000","미설치  "
"121900039","함지박사거리","마을버스","22456","37.4922660000","126.9905850000","미설치  "
"121900040","서래초교","마을버스","22457","37.4952970000","126.9889990000","미설치  "
"121900041","방배성당앞","마을버스","22458","37.4936360000","126.9936240000","미설치  "
"121900042","한국회관.ROTC중앙회","마을버스","22460","37.4987040000","126.9954070000","미설치  "
"121900043","예술공원","마을버스","22462","37.4699890000","127.0325350000","미설치  "
"121900044","사당역13번출구","마을버스","22464","37.4771180000","126.9826410000","미설치  "
"121900045","창신교회.여원사","마을버스","22465","37.4902950000","127.0214060000","미설치  "
"121900046","서초구립반포도서관.반포리체","마을버스","22466","37.5026210000","127.0124970000","미설치  "
"121900047","서초문화예술정보학교후문","마을버스","22468","37.4867140000","127.0291940000","미설치  "
"121900048","장자터빌딩","마을버스","22471","37.4851060000","126.9903540000","미설치  "
"121900049","방배열린문화센터.방배4동주민센터","마을버스","22472","37.4907250000","126.9915330000","미설치  "
"121900050","동부센트레빌1","마을버스","22473","37.4976530000","126.9874960000","미설치  "
"121900051","필리핀대사관","마을버스","22474","37.4939490000","126.9958660000","미설치  "
"121900052","서초그랑자이아파트","마을버스","22475","37.4877450000","127.0263470000","미설치  "
"121900053","삼성래미안","마을버스","22476","37.5026930000","126.9954220000","미설치  "
"121900054","상문고등학교","마을버스","22479","37.4821460000","127.0046090000","미설치  "
"121900055","반포리체","마을버스","22480","37.5023840000","127.0140050000","미설치  "
"121900056","방배노인종합복지관","마을버스","22482","37.4808180000","126.9821510000","미설치  "
"121900057","총신대.이수역","마을버스","22483","37.4867090000","126.9824660000","미설치  "
"121900058","백산빌딩","마을버스","22486","37.4791370000","126.9910360000","미설치  "
"121900059","방배열린문화센터.가야치과병원","마을버스","22488","37.4893580000","126.9923780000","미설치  "
"121900060","방배중학교","마을버스","22489","37.4953870000","126.9981110000","미설치  "
"121900061","우성아파트","마을버스","22490","37.4897190000","127.0277580000","미설치  "
"121900062","반포래미안","마을버스","22491","37.5045840000","127.0003970000","미설치  "
"121900063","우성아파트","마을버스","22493","37.4746630000","127.0328540000","미설치  "
"121900064","삼환아파트","마을버스","22494","37.4800300000","127.0056280000","미설치  "
"121900065","서이지구대","마을버스","22495","37.4924920000","127.0286650000","미설치  "
"121900066","반포래미안아이파크아파트후문","마을버스","22496","37.5020980000","127.0145620000","미설치  "
"121900067","반포고교","마을버스","22497","37.5017030000","127.0158850000","미설치  "
"121900068","경문고등학교","마을버스","22498","37.4915020000","126.9828980000","미설치  "
"121900069","서초문화예술정보학교","마을버스","22499","37.4880670000","127.0321700000","미설치  "
"121900070","교총회관","마을버스","22500","37.4673930000","127.0282690000","미설치  "
"121900071","대우효령아파트","마을버스","22501","37.4799390000","126.9935070000","미설치  "
"121900072","동문빌라","마을버스","22502","37.4829900000","126.9918410000","미설치  "
"121900073","효성빌라","마을버스","22503","37.4966750000","126.9983320000","미설치  "
"121900074","호남고속터미널","마을버스","22505","37.5054360000","127.0032240000","미설치  "
"121900075","현대빌라","마을버스","22507","37.4763040000","127.0360920000","미설치  "
"121900076","방배빌딩.방배아트힐아파트정문","마을버스","22508","37.4782810000","127.0064740000","미설치  "
"121900077","한성슈퍼","마을버스","22509","37.4833880000","126.9898550000","미설치  "
"121900078","반포고교","마을버스","22510","37.5012860000","127.0161410000","미설치  "
"121900079","반포리체","마을버스","22511","37.5025240000","127.0142060000","미설치  "
"121900080","서초2동주민센터","마을버스","22513","37.4917140000","127.0253410000","미설치  "
"121900081","양재역.환승주차장","마을버스","22514","37.4837730000","127.0343620000","미설치  "
"121900082","이수중학교","마을버스","22517","37.4818560000","126.9924470000","미설치  "
"121900083","래미안방배아트힐","마을버스","22522","37.4774390000","127.0063740000","미설치  "
"121900084","정자","마을버스","22523","37.4770780000","126.9896620000","미설치  "
"121900085","문방구","마을버스","22524","37.4828980000","126.9886310000","미설치  "
"121900086","반포센트럴푸르지오써밋아파트","마을버스","22525","37.5009220000","127.0169970000","미설치  "
"121900087","서래마을입구","마을버스","22531","37.4991240000","126.9984520000","미설치  "
"121900088","강남역9번출구","마을버스","22532","37.4977270000","127.0265480000","미설치  "
"121900089","임광아파트후문","마을버스","22535","37.4758190000","127.0030270000","미설치  "
"121900090","방현초교","마을버스","22536","37.4758310000","126.9887130000","미설치  "
"121900091","세탁소","마을버스","22537","37.4825490000","126.9874850000","미설치  "
"121900092","현대4차아파트","마을버스","22538","37.5005700000","127.0179930000","미설치  "
"121900093","서초1동주민센터","마을버스","22540","37.4895950000","127.0184670000","미설치  "
"121900094","매헌시민의숲","마을버스","22541","37.4729660000","127.0385470000","미설치  "
"121900095","팔래스호텔","마을버스","22544","37.5005420000","127.0000690000","미설치  "
"121900096","반포미도아파트앞","마을버스","22546","37.5018430000","127.0116070000","미설치  "
"121900097","임광아파트정문","마을버스","22548","37.4765670000","127.0010130000","미설치  "
"121900098","대성유니드아파트","마을버스","22549","37.4834870000","126.9869170000","미설치  "
"121900099","서초래미안아파트정문","마을버스","22550","37.5002850000","127.0187320000","미설치  "
"121900100","뉴코아백화점","마을버스","22551","37.5093090000","127.0080750000","미설치  "
"121900101","서울교대정문","마을버스","22552","37.4889580000","127.0163710000","미설치  "
"121900102","롯데캐슬클래식.사랑의교회","마을버스","22554","37.4997370000","127.0229570000","미설치  "
"121900103","반포래미안아이파크아파트","마을버스","22555","37.5003520000","127.0120270000","미설치  "
"121900104","언남중고교","마을버스","22556","37.4718790000","127.0457970000","미설치  "
"121900105","방배3동주민센터","마을버스","22557","37.4784500000","126.9998150000","미설치  "
"121900106","우리수퍼","마을버스","22558","37.4846710000","126.9861980000","미설치  "
"121900107","서초래미안아파트남문","마을버스","22559","37.4974380000","127.0204180000","미설치  "
"121900108","경원중학교","마을버스","22560","37.5118730000","127.0095540000","미설치  "
"121900109","청호나이스","마을버스","22561","37.4879590000","127.0130610000","미설치  "
"121900110","구름다리","마을버스","22562","37.4798000000","126.9922200000","미설치  "
"121900111","서울지방조달청.서울성모병원","마을버스","22563","37.4995270000","127.0039620000","미설치  "
"121900112","아크로비스타.미도아파트","마을버스","22565","37.4980460000","127.0124970000","미설치  "
"121900113","방배(백석예술대)역","마을버스","22566","37.4809790000","126.9980950000","미설치  "
"121900114","잠원역","마을버스","22567","37.5129290000","127.0117460000","미설치  "
"121900115","농협서초동지점","마을버스","22568","37.4887820000","127.0093740000","미설치  "
"121900116","코스트코.이마트","마을버스","22569","37.4615000000","127.0368080000","미설치  "
"121900117","국립중앙도서관","마을버스","22571","37.4979220000","127.0044200000","미설치  "
"121900118","방배(백석예술대)역.서초프라자약국","마을버스","22574","37.4822350000","126.9973010000","미설치  "
"121900119","동덕여고","마을버스","22575","37.4745360000","126.9929350000","미설치  "
"121900120","이수역4번출구","마을버스","22576","37.4855780000","126.9828790000","미설치  "
"121900121","신사역","마을버스","22577","37.5153500000","127.0195990000","미설치  "
"121900122","유원아파트","마을버스","22578","37.4953800000","127.0178610000","미설치  "
"121900123","서초역2번출구","마을버스","22579","37.4912990000","127.0081470000","미설치  "
"121900124","양재근린공원","마을버스","22880","37.4724090000","127.0415090000","미설치  "
"121900125","서초역3번출구","마을버스","22879","37.4910840000","127.0077860000","미설치  "
"121900126","서울시인재개발원","마을버스","22881","37.4829880000","127.0219810000","미설치  "
"121900127","방배누리시아웨딩홀","마을버스","22883","37.4788850000","126.9991550000","미설치  "
"121900128","서초그랑자이정문","마을버스","22884","37.4879630000","127.0259360000","미설치  "
"121900129","강남역10번출구","마을버스","22885","37.4992100000","127.0264410000","미설치  "
