people,name,xcoord,ycoord,petNum,petSum,peopleSum
,목동,945625,1949375,,8072.0,144260
,,945625,1949625,,,0
,,945625,1949875,,,0
,,945875,1947875,,,0
,목동,945875,1948125,,8072.0,144260
,목동,945875,1948375,,8072.0,144260
,목동,945875,1948625,,8072.0,144260
,목동,945875,1948875,,8072.0,144260
,,945875,1949125,,,0
,,946125,1948125,,,0
,,946125,1948375,,,0
,,946125,1948625,,,0
