정류장_ID,정류장_명칭,위도,경도
114900077,목동야구장.청소년회관.행복한세상,37.530061,126.875632
114900078,목운초중교,37.526095,126.873277
114900079,목동운동장남문.아이스링크,37.528429,126.876536
114900080,목2동주민센터,37.546175,126.871381
114900081,우성아파트.월촌초등학교,37.541173,126.876954
114900082,강서보건소.9호선등촌역,37.549038,126.868048
114900083,롯데캐슬아파트.목3동시장,37.54807,126.867035
114900084,영도초등학교,37.535516,126.870451
114900085,목동3단지상가.목동도서관.국제우체국,37.534706,126.875759
114900086,5단지C상가.목5동성당,37.532774,126.877508
114900087,파리공원,37.534605,126.87829
114900088,목동5단지B상가.목5동주민센터,37.53572,126.881294
114900089,동방.신성아파트,37.521462,126.8463
114900090,목동프라자,37.5194,126.859371
114900091,신정1동주민센터,37.518409,126.85438
114900092,넓은들공원,37.510992,126.838601
114900093,신정네거리역.2호선2번출구,37.519922,126.852799
114900094,동방.신성아파트,37.521917,126.846387
114900095,신정현대아파트.서부트럭터미널,37.508951,126.841978
114900096,양천구청.보건소.경찰서,37.518149,126.866171
114900097,신정이펜하우스1단지,37.515057,126.828095
114900098,거산아파트,37.540714,126.831693
114900099,강서양천교육지원청,37.541085,126.830667
