정류장 히트맵,위도,경도,가중치 적용 정류장 점수,주차장 히트맵,가중치 적용 주차장 점수,접근성 지수,정규화된 접근성 지수,rank
1.15549,37.53957028,126.8335705,2.31098,0.0,0.0,2.31098,0.07850676196720419,181.0
1.09956,37.52393842,126.8591726,2.19912,0.0,0.0,2.19912,0.07470674362275663,182.0
1.08287,37.53534021,126.884542,2.16574,0.0,0.0,2.16574,0.07357278499288303,183.0
1.05813,37.51027797,126.833831,2.11626,0.0,0.0,2.11626,0.07189189005561085,184.0
1.03217,37.52614532,126.8506658,2.06434,0.0,0.0,2.06434,0.07012810539224845,185.0
0.98244,37.52398417,126.8676599,1.96488,0.00939,0.07512,2.04,0.06930124640329928,186.0
1.01523,37.54207038,126.8788269,2.03046,0.0,0.0,2.03046,0.06897716116276621,187.0
0.95942,37.50577145,126.8338711,1.91884,0.0,0.0,1.91884,0.06518529590613079,188.0
0.95102,37.51044936,126.8649454,1.90204,0.0,0.0,1.90204,0.06461457975928007,189.0
0.9386,37.53535492,126.8873716,1.8772,0.0,0.0,1.8772,0.06377073517072225,190.0
0.92649,37.53523532,126.8647353,1.85298,0.0,0.0,1.85298,0.06294795272567917,191.0
0.91395,37.52387647,126.8478562,1.8279,0.00015,0.0012,1.8291000000000002,0.06213672048836996,192.0
0.90213,37.51480041,126.8366197,1.80426,0.0,0.0,1.80426,0.06129287589981213,193.0
0.89077,37.51952275,126.8761848,1.78154,0.0,0.0,1.78154,0.06052105025359499,194.0
0.88044,37.51489452,126.8535922,1.76088,0.0,0.0,1.76088,0.059819205277765505,195.0
0.87618,37.50816553,126.8593075,1.75236,0.0,0.0,1.75236,0.05952977066043408,196.0
0.86909,37.51040343,126.8564596,1.73818,0.0,0.0,1.73818,0.05904805905553272,197.0
0.86004,37.52177603,126.876166,1.72008,0.0,0.0,1.72008,0.05843318034969952,198.0
0.85753,37.53308693,126.8845605,1.71506,0.0,0.0,1.71506,0.05826264492962866,199.0
0.85732,37.51717862,126.8592304,1.71464,0.0,0.0,1.71464,0.058248377025957386,200.0
0.84194,37.51274795,126.8734123,1.68388,0.0,0.0,1.68388,0.057203422938033134,201.0
0.80757,37.51953766,126.8790137,1.61514,0.0,0.0,1.61514,0.05486824270383569,202.0
0.78733,37.52833581,126.8393292,1.57466,0.0,0.0,1.57466,0.05349308855951924,203.0
0.76905,37.54423311,126.8618289,1.5381,0.0,0.0,1.5381,0.052251101516134615,204.0
0.75311,37.52625255,126.8704701,1.50622,0.0,0.0,1.50622,0.051168099685086975,205.0
0.0,37.52152827,126.8309019,0.0,0.18792,1.50336,1.50336,0.051070942055325495,206.0
0.70859,37.5172545,126.8733747,1.41718,0.0,0.0,1.41718,0.04814330410677827,207.0
0.70584,37.54210002,126.8844865,1.41168,0.0,0.0,1.41168,0.047956462511083105,208.0
0.69723,37.512563,126.8394683,1.39446,0.0,0.0,1.39446,0.04737147846056113,209.0
0.68442,37.50592757,126.8621552,1.36884,0.0,0.0,1.36884,0.04650113633661382,210.0
0.65456,37.54651682,126.8674696,1.30912,0.0,0.0,1.30912,0.04447237631935645,211.0
0.64881,37.54404469,126.8278707,1.29762,0.0,0.0,1.29762,0.04408170752835745,212.0
0.0,37.52611408,126.8450075,0.0,0.15854,1.26832,1.26832,0.04308635139129046,213.0
0.60828,37.54197985,126.8618481,1.21656,0.0,0.0,1.21656,0.04132800211980283,214.0
0.59318,37.53760819,126.8873531,1.18636,0.0,0.0,1.18636,0.04030207190344026,215.0
0.58176,37.53984675,126.884505,1.16352,0.0,0.0,1.16352,0.03952616971331705,216.0
0.57403,37.52616084,126.853495,1.14806,0.0,0.0,1.14806,0.039000974973417535,217.0
0.56908,37.53726882,126.8251018,1.13816,0.0,0.0,1.13816,0.03866466010116623,218.0
0.48609,37.53754893,126.8760346,0.97218,0.0,0.0,0.97218,0.03302612045507818,219.0
0.0,37.52629749,126.8789577,0.0,0.1091,0.8728,0.8728,0.029650062676862553,220.0
0.41293,37.50802471,126.833851,0.82586,0.0,0.0,0.82586,0.028055454585602328,221.0
0.40719,37.5150162,126.8762223,0.81438,0.0,0.0,0.81438,0.02766546521858768,222.0
0.40642,37.53071353,126.8619441,0.81284,0.0,0.0,0.81284,0.027613149571793033,223.0
0.0,37.51713227,126.8507439,0.0,0.10145,0.8116,0.8116,0.027571025284763576,224.0
0.40257,37.54878521,126.8702806,0.80514,0.0,0.0,0.80514,0.027351571337819795,225.0
0.40158,37.51938553,126.8507244,0.80316,0.0,0.0,0.80316,0.027284308363369533,226.0
0.39371,37.50591226,126.8593267,0.78742,0.0,0.0,0.78742,0.026749601687689174,227.0
0.39357,37.51261016,126.8479543,0.78714,0.0,0.0,0.78714,0.02674008975190833,228.0
0.38644,37.52392303,126.8563435,0.77288,0.0,0.0,0.77288,0.02625566045106958,229.0
0.38369,37.50594281,126.8649836,0.76738,0.0,0.0,0.76738,0.02606881885537441,230.0
0.36031,37.55100815,126.8646014,0.72062,0.0,0.0,0.72062,0.0244803255799733,231.0
0.34749,37.51035689,126.8479739,0.69498,0.0,0.0,0.69498,0.023609304032041634,232.0
0.34188,37.52404421,126.8789764,0.68376,0.0,0.0,0.68376,0.023228147176823487,233.0
0.31545,37.51703775,126.8337709,0.6309,0.0,0.0,0.6309,0.021432429586196823,234.0
0.28558,37.54177531,126.8250612,0.57116,0.0,0.0,0.57116,0.019402990144955105,235.0
0.0,37.52605077,126.8336908,0.0,0.06242,0.49936,0.49936,0.01696385804115271,236.0
0.23841,37.54406077,126.8307005,0.47682,0.0,0.0,0.47682,0.016198147210794687,237.0
0.23265,37.52603477,126.8308616,0.4653,0.0,0.0,0.4653,0.01580679899581135,238.0
0.22578,37.52395373,126.8620017,0.45156,0.0,0.0,0.45156,0.0153400347185656,239.0
0.21525,37.54648637,126.8618097,0.4305,0.0,0.0,0.4305,0.014624601263049186,240.0
0.0,37.53274612,126.822313,0.0,0.0526,0.4208,0.4208,0.014295080630641341,241.0
0.0,37.53507971,126.8364401,0.0,0.05201,0.41608,0.41608,0.01413473657033567,242.0
0.20539,37.53307215,126.8817311,0.41078,0.0,0.0,0.41078,0.01395468921448396,243.0
0.0,37.514879,126.8507634,0.0,0.0494,0.3952,0.3952,0.01342541793067837,244.0
0.0,37.52841411,126.8534755,0.0,0.04358,0.34864,0.34864,0.011843718895120717,245.0
0.16738,37.52855076,126.878939,0.33476,0.00064,0.00512,0.33988,0.011546131189977138,246.0
0.0,37.54430873,126.8759783,0.0,0.04173,0.33384,0.33384,0.011340945146704624,247.0
0.14533,37.52384509,126.8421981,0.29066,0.0,0.0,0.29066,0.009874068764501455,248.0
0.13245,37.54179145,126.8278909,0.2649,0.0,0.0,0.2649,0.008998970672663717,249.0
0.13157,37.5352505,126.8675648,0.26314,0.0,0.0,0.26314,0.00893918136204126,250.0
0.12625,37.54182353,126.8335504,0.2525,0.0,0.0,0.2525,0.00857772780236915,251.0
0.11374,37.50821125,126.867793,0.22748,0.0,0.0,0.22748,0.007727768397952215,252.0
0.10194,37.53536956,126.8902011,0.20388,0.0,0.0,0.20388,0.006926048096423851,253.0
0.09114,37.53528068,126.8732239,0.18228,0.0,0.0,0.18228,0.006192270193330094,254.0
0.07425,37.50583471,126.8451847,0.1485,0.0,0.0,0.1485,0.00504472308376958,255.0
0.06882,37.54873962,126.8617905,0.13764,0.0,0.0,0.13764,0.004675795860269664,256.0
0.06821,37.54424837,126.8646588,0.13642,0.0,0.0,0.13642,0.0046343509972245536,257.0
0.0628,37.52601871,126.8280325,0.1256,0.0,0.0,0.1256,0.004266782621693328,258.0
0.06,37.54660656,126.8844494,0.12,0.0,0.0,0.12,0.004076543906076428,259.0
0.04251,37.52149608,126.8252439,0.08502,0.0,0.0,0.08502,0.0028882313574551495,260.0
0.04076,37.55102334,126.8674315,0.08152,0.0,0.0,0.08152,0.0027693321601945865,261.0
0.03821,37.51024593,126.8281739,0.07642,0.0,0.0,0.07642,0.002596079044186339,262.0
0.03801,37.5170057,126.8281133,0.07602,0.0,0.0,0.07602,0.0025824905644994175,263.0
0.02888,37.5284907,126.8676219,0.05776,0.0,0.0,0.05776,0.001962176466791454,264.0
0.02561,37.51276292,126.876241,0.05122,0.0,0.0,0.05122,0.0017400048239102888,265.0
0.02386,37.53725261,126.8222722,0.04772,0.0,0.0,0.04772,0.001621105626649726,266.0
0.02256,37.505819,126.8423563,0.04512,0.0,0.0,0.04512,0.001532780508684737,267.0
0.01382,37.50595798,126.867812,0.02764,0.0,0.0,0.02764,0.0009389639463662706,268.0
0.0124,37.53075909,126.8704322,0.0248,0.0,0.0,0.0248,0.0008424857405891285,269.0
0.00361,37.53083366,126.8845791,0.00722,0.0,0.0,0.00722,0.00024527205834893174,270.0
0.00355,37.53074397,126.8676029,0.0071,0.0,0.0,0.0071,0.00024119551444285535,271.0
0.00342,37.51259451,126.8451256,0.00684,0.0,0.0,0.00684,0.00023236300264635638,272.0
0.00177,37.51503111,126.8790511,0.00354,0.0,0.0,0.00354,0.00012025804522925464,273.0
0.00142,37.51473632,126.8253048,0.00284,0.0,0.0,0.00284,9.647820577714213e-05,274.0
0.00121,37.54657692,126.8787895,0.00242,0.0,0.0,0.00242,8.221030210587463e-05,275.0
0.00025,37.50815016,126.856479,0.0005,0.0,0.0,0.0005,1.6985599608651783e-05,276.0
0.00016,37.53310164,126.88739,0.00032,0.0,0.0,0.00032,1.0870783749537142e-05,277.0
0.0,37.54883018,126.8787708,0.0,0.0,0.0,0.0,0.0,278.0
0.0,37.52631233,126.8817869,0.0,0.0,0.0,0.0,0.0,278.0
0.0,37.52856561,126.8817683,0.0,0.0,0.0,0.0,0.0,278.0
0.0,37.53050908,126.8251627,0.0,0.0,0.0,0.0,0.0,278.0
